Prompt,Expected Intent,Category
"swap 0.5 USDC for EURC on sepolia","{ ""transaction_type"": ""swap"", ""response"": { ""fromAsset"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""toAsset"": ""0x6F2f88340B027Cc6b8a551912A30e957aC59cb8b"", ""amount"": 0.5, ""chain"": ""sepolia""}}","direct"
"please swap 0.5 USDC for EURC on sepolia","{ ""transaction_type"": ""swap"", ""response"": { ""fromAsset"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""toAsset"": ""0x6F2f88340B027Cc6b8a551912A30e957aC59cb8b"", ""amount"": 0.5, ""chain"": ""sepolia""}}","polite"
"I want to swap 0.5 USDC for EURC on sepolia","{ ""transaction_type"": ""swap"", ""response"": { ""fromAsset"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""toAsset"": ""0x6F2f88340B027Cc6b8a551912A30e957aC59cb8b"", ""amount"": 0.5, ""chain"": ""sepolia""}}","conversational"
"Can you swap 0.5 USDC for EURC on sepolia?","{ ""transaction_type"": ""swap"", ""response"": { ""fromAsset"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""toAsset"": ""0x6F2f88340B027Cc6b8a551912A30e957aC59cb8b"", ""amount"": 0.5, ""chain"": ""sepolia""}}","question"
"I'd like to switch 0.5 USDC for EURC on sepolia network please","{ ""transaction_type"": ""swap"", ""response"": { ""fromAsset"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""toAsset"": ""0x6F2f88340B027Cc6b8a551912A30e957aC59cb8b"", ""amount"": 0.5, ""chain"": ""sepolia""}}","synonyms"
"exchange my USDC for EURC on sepolia, specifically 0.5 USDC","{ ""transaction_type"": ""swap"", ""response"": { ""fromAsset"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""toAsset"": ""0x6F2f88340B027Cc6b8a551912A30e957aC59cb8b"", ""amount"": 0.5, ""chain"": ""sepolia""}}","reordered"
"USDC → EURC, 0.5 token, sepolia","{ ""transaction_type"": ""swap"", ""response"": { ""fromAsset"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""toAsset"": ""0x6F2f88340B027Cc6b8a551912A30e957aC59cb8b"", ""amount"": 0.5, ""chain"": ""sepolia""}}","symbols"
"can you please help me swap 0.5 USDC to get some EURC on the sepolia network?","{ ""transaction_type"": ""swap"", ""response"": { ""fromAsset"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""toAsset"": ""0x6F2f88340B027Cc6b8a551912A30e957aC59cb8b"", ""amount"": 0.5, ""chain"": ""sepolia""}}","verbose"
"sepolia: swap(USDC, EURC, 0.5)","{ ""transaction_type"": ""swap"", ""response"": { ""fromAsset"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""toAsset"": ""0x6F2f88340B027Cc6b8a551912A30e957aC59cb8b"", ""amount"": 0.5, ""chain"": ""sepolia""}}","technical"
"Need EURC instead of my USDC on sepolia - just 0.5 token","{ ""transaction_type"": ""swap"", ""response"": { ""fromAsset"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""toAsset"": ""0x6F2f88340B027Cc6b8a551912A30e957aC59cb8b"", ""amount"": 0.5, ""chain"": ""sepolia""}}","implicit"
